Date        Check#/Deposit Amount
02-27-2015  110            75.00
02-28-2015  106           124.00
03-01-2015  101            25.00
03-01-2015  114            85.00
03-01-2015  104           106.99
03-01-2015  Deposit       800.00
03-05-2015  102             3.01
03-06-2015  108             5.50
03-06-2015  Deposit       450.04
03-07-2015  103            25.00
03-10-2015  116             3.00
03-12-2015  109             7.00
03-12-2015  105           119.50
03-14-2015  Deposit       700.00
03-16-2015  115            15.50
03-16-2015  112           125.00
03-18-2015  107            27.75

Beginning Balance: $900.00

Check Total: $747.25

Deposit Total: $1950.04

Ending Balance: $2102.79

