			Mortgage Amortization Table

			    Loan: $136000.00
				Rate: 7.62%
				Years: 20
			Monthly Payment: $1105.61

Payment	Beginning				Paid On
Number	Balance	    Payment	   Interest	Principal	NewBalance

1     	136000.00    1105.61	  863.61  	242.01	135757.99
2     	135757.99    1105.61	  862.07  	243.54	135514.45
3     	135514.45    1105.61	  860.52  	245.09	135269.36
4     	135269.36    1105.61	  858.97  	246.65	135022.71
5     	135022.71    1105.61	  857.40  	248.21	134774.50
6     	134774.50    1105.61	  855.82  	249.79	134524.71



235   	6488.67      1105.61	  41.21   	1064.40	5424.27
236   	5424.27      1105.61	  34.45   	1071.16	4353.11
237   	4353.11      1105.61	  27.65   	1077.97	3275.14
238   	3275.14      1105.61	  20.80   	1084.81	2190.33
239   	2190.33      1105.61	  13.91   	1091.70	1098.63
240   	1098.63      1105.61	  6.98    	1098.63	0.00
